MessungNr,Laufzeit_s
1,4.28393580599993
2,4.31693453900004
3,4.36648789399999
4,4.28070503100003
5,4.33670141999994
6,4.28401296000004
7,4.30161076399997
8,4.33547074700005
9,4.32963328699998
10,4.30854384500003
11,4.37060057600002
12,4.16114419999997
13,4.17541459200004
14,4.13966461500002
15,4.14483024999993
16,4.174790218
17,4.254605019
18,4.18571233099999
19,4.18847121600004
20,4.16549264599996
21,4.18941294000001
22,4.23037652699998
23,4.13529088400003
24,4.22189075599999
25,4.16460017400004
26,4.23448376099998
27,4.19895615799999
28,4.14456912200001
29,4.17898565200005
30,4.15720169099996
31,4.17338918099995
32,4.1520991650001
33,4.15578854399996
34,4.16372373700006
35,4.17296887299995
36,4.23864283199998
37,4.15335457800006
38,4.14578078499994
39,4.15006478500004
40,4.15989462300001
41,4.20015942800001
42,4.30495694299998
43,4.16920894199996
44,4.16941527200004
45,4.217290306
46,4.17542112800004
47,4.1586650989999
48,4.14447235500006
49,4.14617356999997
50,4.21086886199998
51,4.16219941100007
52,4.18354539199993
53,4.148187205
54,4.18863641000007
55,4.16702725799996
56,4.15376823500003
57,4.14760337799999
58,4.18087436199994
59,4.20740431500008
60,4.21940315099994
61,4.150782091
62,4.17910823
63,4.18577506600002
64,4.19582776499999
65,4.20356779500003
66,4.16934370299998
67,4.17791742700001
68,4.14752816800001
69,4.20579887899999
70,4.17141030599998
71,4.14355842999999
72,4.20357898000009
73,4.21248579899998
74,4.15428653200002
75,4.15458969099996
76,4.20554536999998
77,4.16034771500006
78,4.19629577000001
79,4.15144224899996
80,4.15024756399998
81,4.19622358900006
82,4.17355870500001
83,4.17236303099992
84,4.15153624700008
85,4.19027884299999
86,4.20990750699991
87,4.18802910300008
88,4.19060310899999
89,4.18032267399997
90,4.23170702900006
91,4.20151687199996
92,4.15897376700002
93,4.15317067199999
94,4.20107335099999
95,4.15603432399996
96,4.17147925699999
97,4.13757669100005
98,4.193856622
99,4.17432800100005
100,4.22267564899994
Mean,4.19456170319
Min,4.13529088400003
Max,4.37060057600002
